season,date,home_team,away_team,home_score,away_score,home_xg,away_xg,home_PPDA,home_season_xPTS,home_season_xG,home_season_xGA,away_PPDA,away_season_xPTS,away_season_xG,away_season_xGA
15/16,8/8/15,MUN,TOT,1.0,0.0,0.63,0.67,7.73,56.44,45.42,39.66,6.44,69.43,63.42,37.08
15/16,8/8/15,BOU,AVL,0.0,1.0,0.88,0.78,9.03,43.74,38.71,53.97,12.2,29.83,26.53,59.01
15/16,8/8/15,EVE,WAT,2.0,2.0,0.6,0.56,11.12,52.69,53.98,54.75,9.39,48.25,43.2,51.85
15/16,8/8/15,LEI,SUN,4.0,2.0,2.57,1.46,9.57,68.94,68.42,45.02,11.64,40.52,40.52,58.85
15/16,8/8/15,NOR,CRY,1.0,3.0,1.13,2.11,11.82,39.18,39.19,58.93,9.03,44.89,42.51,52.94
15/16,8/8/15,CHE,SWA,2.0,2.0,0.64,2.59,8.53,59.62,54.48,44.63,9.46,42.4,39.96,53.63
15/16,8/9/15,NEW,SOU,2.0,2.0,1.55,1.25,11.48,40.21,37.61,55.42,9.12,61.08,56.2,44.29
15/16,8/9/15,ARS,WHU,0.0,2.0,1.33,0.54,8.35,77.01,73.53,33.86,9.31,49.8,54.4,55.48
15/16,8/9/15,STK,LIV,0.0,1.0,0.38,0.33,9.94,48.3,42.63,54.35,7.48,63.29,54.37,37.88
15/16,8/10/15,WBA,MCI,0.0,3.0,0.44,1.92,11.41,42.3,39.75,51.94,7.78,70.14,66.2,37.47
15/16,8/14/15,AVL,MUN,0.0,1.0,0.22,0.66,12.2,29.83,26.53,59.01,7.73,56.44,45.42,39.66
15/16,8/15/15,SOU,EVE,0.0,3.0,1.06,1.4,9.12,61.08,56.2,44.29,11.12,52.69,53.98,54.75
15/16,8/15/15,SUN,NOR,1.0,3.0,0.33,1.72,11.64,40.52,40.52,58.85,11.82,39.18,39.19,58.93
15/16,8/15/15,SWA,NEW,2.0,0.0,1.97,0.11,9.46,42.4,39.96,53.63,11.48,40.21,37.61,55.42
